CD,STN,ITEMNO,REGISTRATIONDATE,PASSDATE,RELEASEDATE,TIME,CPC,CONSIGNEEPIN,CONSIGNEENAME,AGENTPIN,AGENTNAME,CONSIGNORNAME,IDFNUMBER,CON,COO,CFS,HSCODE,PRODUCTDESCRIPTION,BRAND,SIZE_AH,GRADE,ITEMGROSSWEIGHT,ITEMNETWEIGHT,QUANTITY,UNIT_WEIGHT,CUSTOMSVALUE,FOBVALUE,FOBINVOICEAMOUNT,DECLARED_PRICE,FOBCURRENCYCODE,UNIT,IMPORTDUTY,EXCISEDUTY,VAT,EXPORTDUTY,TAXCOMPUTED,TAXREMITTED,DUTYRATE,VATRATE,EXCISERATE,CURRENCY,EXCHANGERATE,MESSAGE,F147_NO,F147_DESCRIPTION,F147_AMOUNT, EXTRA_UNIT_PRICE ,ADJ_PRICE
2020MSA7705437,MSA,1,18-Dec-20,18-Dec-20,29-Dec-20,11,C400,P051534443C    ,HIGHRISE COMMONDITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,AL ASAD RICE MILLS,0MBAIM000542359,PK ,PK ,CNT ,10063000.00,10X20 STC PAKISTAN LONG GRAIN WHITE RICE GRADE 1 FATMA BRAND.,FATMA,NA,1,259644.00,257000.00,257000.00,1.00,12909921.70,110510.00,12330838.41,47.98,USD,kg,5735263.00,0.00,0.00,0.00,5735263.00,0.00,35.00,0.00,0.00,USD,111.58,NA,NA,NA,NA,,
2020MSA7710373,MSA,4,28-Dec-20,28-Dec-20,28-Dec-20,0,C400,P051955859E    ,DRIGOP TRADERS,P051311817K    ,HANGOOL INVESTMENT GROUP LIMITED,UNITED GLORY HOLDINGS LIMITED,0MBAIM000545518,CN ,CN ,FOC ,85071000.00,CAR BATTERIES,UNKNOWN,,MV,1800.00,1800.00,150.00,12.00,344869.38,3000.00,335015.40,2233.44,USD,u ,86217.00,0.00,50829.00,0.00,123443.00,0.00,25.00,14.00,0.00,USD,107.56,NA,NA,NA,NA,,
2020MSA7699738,MSA,5,10-Dec-20,10-Dec-20,16-Dec-20,6,C400,P051760908D    ,BIZBAN LIMITED,P051437832H    ,SUNRISE INVESTMENT GROUP LIMITED,HK XINLIHANG LOCOMOTIVE PARTS AND COMPON,0MBAIM000545684,CN ,CN ,BFT ,85071000.00,BATTERY,UNKNOWN,,UNKNOWN,3620.00,3620.00,1200.00,3.02,97580.23,810.00,90041.06,75.03,USD,u ,24395.00,0.00,154115.00,0.00,429320.00,275205.00,25.00,14.00,0.00,EUR,135.06,NA,NA,NA,NA,,
2020MSA7696383,MSA,1,07-Dec-20,11-Dec-20,11-Dec-20,4,C400,P051819873E    ,PICEA COMMODITIES LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,MARVEL AGRO COMMODITIES,0MBAIM000550033,PK ,PK ,BFT ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE AND PARBOILED RICE GRADE-1 MAK BRAND,PARBOILED RICE,NA,1,104416.00,104000.00,104000.00,1.00,4812647.63,41194.00,4579199.19,44.03,USD,kg,2312170.00,0.00,0.00,0.00,2312170.00,0.00,35.00,0.00,0.00,USD,111.16,NA,NA,NA,NA,,
2020MSA7700347,MSA,1,11-Dec-20,11-Dec-20,11-Dec-20,0,C400,P051738885G    ,LAWEE COMPANY LIMITED,P051428436I    ,TIDAL LOGISTICS LIMITED,CIM SHIPPING INC,0MBAIM000560164,PK ,PK ,MIT ,10063000.00,"PAKISTAN LONG GRAIN  PARBOILED RICE GRADE I ,PACKED IN BAGS OF 25KGS , BRAND-BARAF/SANA/YABAL",PARBOILED RICE,NA,1,261919.00,260000.00,260000.00,1.00,11242924.68,93600.00,10404744.48,40.02,USD,kg,5780424.00,0.00,0.00,0.00,5780424.00,0.00,35.00,0.00,0.00,USD,111.16,NA,NA,NA,NA,,
2020MSA7695469,MSA,1,04-Dec-20,10-Dec-20,11-Dec-20,7,C400,P000633979I    ,NAUSHAD TRADING COMPANY LTD,P051099824J    ,GOLDEN FREIGHT SERVICES,AWAMI AGRO COMMODITIES,0MBAIM000569652,PK ,PK ,AUT ,10063000.00,PAKISTAN LONG GRAIN WHITE RICE GRADE II TWIGY BRAND / GOLDY RICE BRAND,TWIGY ,NA,2,182546.00,182000.00,182000.00,1.00,10590177.00,90740.00,9989085.68,54.89,USD,kg,4007076.00,0.00,0.00,0.00,4007076.00,0.00,35.00,0.00,0.00,USD,110.08,NA,NA,NA,NA,,
2020MSA7688539,MSA,5,25-Nov-20,27-Nov-20,27-Nov-20,2,C400,P051754828N    ,DANS MOTOR BIKE SPARE PARTS LIMITED,P051187017T    ,SPEED TRACK CARGO FORWARDERS LIMITED,GUANGZHOU ASENX INTERNATIONAL CO LTD,0MBAIM000571835,CN ,CN ,BFT ,85071000.00,12N7BL BATTERY,UNKNOWN,,UNKNOWN,3453.00,3453.00,2500.00,1.38,395360.94,3250.00,355850.30,142.34,USD,u ,98840.00,0.00,6274.00,0.00,15237.00,0.00,25.00,14.00,0.00,USD,109.49,NA,2020MSA1632522,Vat Imports              ,199708.00,,
2020MSA7697856,MSA,17,08-Dec-20,08-Dec-20,08-Dec-20,0,C400,P051866362V    ,PIHAVUS TRADERS,P051436231Y    ,SUBUKIA HOLDINGS K LIMITED,"GUANGZHOU JINGLING TRADE CO.,LTD",0MBAIM000573074,CN ,CN ,MIT ,85071000.00,CAR BATTERY,UNKNOWN,,MV,2340.00,2340.00,1100.00,2.13,718104.41,6050.00,672528.89,611.39,USD,u ,179526.00,0.00,23332.00,0.00,64996.00,41664.00,25.00,14.00,0.00,EUR,135.06,NA,NA,NA,NA,,
2020MSA7707157,MSA,1,21-Dec-20,22-Dec-20,22-Dec-20,1,C400,P051648143M    ,APIRAN INTERNATIONAL LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,SHREE RATHI RICE MILL,0MBAIM000578224,IN ,IN ,BFT ,10063000.00,INDIAN LONG GRAIN WHITE RICE GRADE-1 MAARUFU BRAND,MAARUFU,NA,1,260940.00,260000.00,260000.00,1.00,11154916.08,93600.00,10452480.48,40.20,USD,kg,5806944.00,0.00,0.00,0.00,5806944.00,0.00,35.00,0.00,0.00,USD,111.67,NA,NA,NA,NA,,
2020MSA7705546,MSA,1,18-Dec-20,22-Dec-20,23-Dec-20,5,C400,P051648143M    ,APIRAN INTERNATIONAL LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,SHREE RATHI RICE MILL,0MBAIM000578754,IN ,IN ,MIT ,10063000.00,INDIAN LONG GRAIN WHITE RICE GRADE-1 MAARUFU BRAND ,MAARUFU,NA,1,260940.00,260000.00,260000.00,1.00,11029781.85,93600.00,10444000.32,40.17,USD,kg,5802212.00,0.00,0.00,0.00,5802212.00,0.00,35.00,0.00,0.00,USD,111.58,NA,NA,NA,NA,,
2020MSA7700235,MSA,1,11-Dec-20,14-Dec-20,14-Dec-20,3,C400,P051648143M    ,APIRAN INTERNATIONAL LIMITED,P051437914D    ,AIR MENZIES INTERNATIONAL,MANEK RATHI AGRI PRODUCTS,0MBAIM000579047,IN ,IN ,CNT ,10063000.00,INDIAN LONG GRAIN WHITE RICE GRADE-1 MAARUFU BRAND,MAARUFU,NA,1,260940.00,260000.00,260000.00,1.00,10988363.70,93600.00,10404744.48,40.02,USD,kg,5780424.00,0.00,0.00,0.00,5780424.00,0.00,35.00,0.00,0.00,USD,111.16,NA,NA,NA,NA,,
2020MSA7688505,MSA,18,25-Nov-20,25-Nov-20,26-Nov-20,1,C400,P051916300C    ,MAYDISA TRADERS,P051311817K    ,HANGOOL INVESTMENT GROUP LIMITED,FRIEND LINE GENERAL TRADING LLC,0MBAIM000613695,AE ,CN ,FOC ,85071000.00,BATTERY,UNKNOWN,,UNKNOWN,420.00,420.00,50.00,8.40,100525.59,900.00,98543.16,1970.86,USD,u ,25131.00,0.00,39083.00,0.00,94917.00,0.00,25.00,14.00,0.00,USD,109.49,NA,NA,NA,NA,,
2020MSA7702854,MSA,10,15-Dec-20,15-Dec-20,15-Dec-20,0,C400,P051916303F    ,LIXMANTLE INVESTMENTS,P051311817K    ,HANGOOL INVESTMENT GROUP LIMITED,UNITED GLORY HOLDINGS LIMITED,0MBAIM000626728,CN ,CN ,FOC ,85071000.00,BATTERY,UNKNOWN,,UNKNOWN,160.00,160.00,20.00,8.00,69079.29,600.00,66697.08,3334.85,USD,u ,17270.00,0.00,43637.00,0.00,105976.00,0.00,25.00,14.00,0.00,USD,111.58,NA,NA,NA,NA,,
2020MSA7710969,MSA,4,29-Dec-20,29-Dec-20,29-Dec-20,0,C400,P051706508H    ,VIKALI ENTERPRISES LIMITED,P051146413N    ,BENELI FREIGHTERS LIMITED,WEISHLONG MOTORCYCLE SPARE PARTS HONG,0MBAIM000631187,CN ,CN ,BFT ,85071000.00,BATTERY,UNKNOWN,,UNKNOWN,1763.00,1763.00,1000.00,1.76,195810.90,1700.00,185109.94,185.11,USD,u ,48953.00,0.00,66493.00,0.00,161483.00,0.00,25.00,14.00,0.00,USD,108.89,NA,NA,NA,NA,,
2020MSA7705723,MSA,57,18-Dec-20,18-Dec-20,23-Dec-20,5,C400,P051776201E    ,JIYUAN COMPANY LTD,P051234813P    ,SONGHONG FREIGHT SERVICES LIMITED,"TAIWAN JIAJIAMEI TRADE CO., LIMITED",0MBAIM000631334,CN ,CN ,CNT ,85071000.00,MOTORCYCLE BATTERY,UNKNOWN,,MOTORCYCLE,1350.00,1300.00,896.00,1.45,148504.49,1299.20,144966.30,161.79,USD,u ,37126.00,0.00,63244.00,0.00,153593.00,0.00,25.00,14.00,0.00,USD,111.58,NA,2020MSA1638303,Alteration Fee                ,550.00,,
2020MSA7696483,MSA,1,07-Dec-20,08-Dec-20,08-Dec-20,1,C400,P051859697Z    ,SAGA COMMODITIES LIMITED,P051545705E    ,UNIVERSAL FREIGHTERS LIMITED,SANA INTERNATIONAL,0MBAIM000639183,PK ,PK ,BFT ,10063000.00,"PAKISTAN LONG GRAIN RICE GRADE 2,BRAND:AGAA",AGAA,NA,2,51146.00,50640.00,50640.00,1.00,2086955.39,17724.00,1970231.74,38.91,USD,kg,1125849.00,0.00,0.00,0.00,1125849.00,0.00,35.00,0.00,0.00,USD,111.16,NA,NA,NA,NA,,
2020MSA7706349,MSA,1,19-Dec-20,21-Dec-20,22-Dec-20,3,C400,P051859697Z    ,SAGA COMMODITIES LIMITED,P051545705E    ,UNIVERSAL FREIGHTERS LIMITED,SANA INTERNATIONAL,0MBAIM000639183,PK ,PK ,BFT ,10063000.00,"PAKISTAN LONG GRAIN RICE GRADE 2,BRAND:AGAA",AGAA,NA,2,104624.00,104000.00,104000.00,1.00,4299215.93,36400.00,4061555.68,39.05,USD,kg,2320885.00,0.00,0.00,0.00,2320885.00,0.00,35.00,0.00,0.00,USD,111.58,NA,NA,NA,NA,,
2020MSA7701553,MSA,13,14-Dec-20,14-Dec-20,14-Dec-20,0,C400,P051955859E    ,DRIGOP TRADERS,P051311817K    ,HANGOOL INVESTMENT GROUP LIMITED,UNITED GLORY HOLDINGS LIMITED,0MBAIM000648384,CN ,CN ,FOC ,85071000.00,CAR BATTERIES,UNKNOWN,,MV,1450.00,1450.00,150.00,9.67,268487.13,2350.00,261230.23,1741.53,USD,u ,67122.00,0.00,146796.00,0.00,356505.00,0.00,25.00,14.00,0.00,USD,111.16,NA,NA,NA,NA,,
2020MSA7702048,MSA,5,14-Dec-20,14-Dec-20,14-Dec-20,0,C400,P051896549B    ,VIRISHA TRADERS,P051311817K    ,HANGOOL INVESTMENT GROUP LIMITED,GUANGZHOU JINGLING TRADE CO.LTD,0MBAIM000651760,CN ,CN ,FOC ,85071000.00,CAR BATTERY,UNKNOWN,,MV,2000.00,2000.00,840.00,2.38,161959.81,1420.00,157849.76,187.92,USD,u ,40490.00,0.00,25988.00,0.00,63114.00,0.00,25.00,14.00,0.00,USD,111.58,NA,NA,NA,NA,,
